#ID	分类	Icon路径	Line headings	Line item explanatory text
h10101	101		Movement	Press and hold the move key (preset WASD) to move the character, or use the keyboard arrow keys to operate, using the game The left joystick on the handle also moves the character.
h10102	101		Running	Pressing the Run (preset Shift) key at the same time as moving with the arrow keys accelerates movement, but the acceleration time is The length and expression depends on the character's ability, and you can even float on water when you reach a certain level.
h10103	101		Jumping	Pressing the jump key (preset to Space) allows the character to jump to reach areas that would be inaccessible to normal walking! With running you can make the character jump higher and farther.
h10201	102		Game Time	The passage of time in the game will affect the day and night changes, NPCs will also change their routines with the time changes, different time points. Different special events may be encountered.
h10202	102		Rest.	Characters can buy time off from NPCs at inns in each stronghold, and can also use mats in the field. The longer you rest, the longer you will be able to recover your character's blood, internal strength and abnormal state. The higher the efficiency as well.
h10203	102		NPC Routines	NPCs in this world all have their own routines and lives, and if you can't find an NPC at any given time, Come back another time and look for it, maybe it will trigger a different event or experience.
h10301	103	Point/Img_point_02.png	Conversation	There are many NPCs in the open world that you can talk to by simply pressing the interact button at the permitted distance ( (preset E key) can talk and interact with it, but be aware of the possible events and consequences of interaction with it.
h10302	103	Point/Img_point_07.png	Dark Takes	The player can use the secret fetch (preset to F) to retrieve items from an NPC, only with the possibility of being discovered, while the Being discovered will usually have some negative effects on the player, and even lead to combat.
h10303	103	Point/Img_point_03.png	Pickups	There are many small objects in the open world that can be interacted with, so if the player gets close to an object, press the interact button (preset E). ) can be picked up into a backpack.
h10304	103	Point/Img_point_05.png	Picking	Players can pick herbs or plants when they are near them.
h10305	103	Point/Img_point_04.png	Digging.	Players can dig when they are near minerals.
h10306	103	Point/Img_point_06.png	Capture.	When the player is near a poisonous insect, the player can catch it, those who have not practiced poisoning will be poisoned.
h10307	103	Point/Img_point_09.png	Investigation	When the player is near an object or location, the player can investigate the object or get clues related to the quest.
h10308	103	Point/Img_point_06.png	Hunting	When the player is near certain wild animals, they can hunt them.
h10309	103	Point/Img_point_06.png	Covert capture	When the player is near certain domesticated livestock, they can make a covert arrest, but may be hated by the villagers.
h10310	103	Point/Img_point_08.png	Cutscenes	When a player approaches an NPC, they can engage in a cutscene (preset to the G key), and the player will engage in a one-on-one with the NPC. Clash, if you win a clash, you can get items from the same NPC once a day. Requirements. (You can only cut NPCs on difficulty modes above difficulty)
h10401	104		Convenience functions	The game provides players with many convenient features that can assist players in playing the game more smoothly.
