defaultNickname	Without a title	Don't use any titles			
#上面defaultNickname不要删掉，那是每个角色最初始的称号					
nick000	The Guest from Beyond the Skies	The first title I acquire, to this world, I am a guest from beyond the sky. (Test)	(MaxHP,0)	Player	
nick001	Again, God of Agriculture	When collecting herbs, there is a 20% chance of obtaining double		Player	nick001
nick003	Gold Prospector	During mining, there is a 20% chance to collect double the amount of ore		Player	nick003
nick004	Invisible Person	When using the Mysterious Hand Trick, it is comparatively difficult to be discovered (the chance of being discovered decreases by 50%)		Player	nick004
nick005	Heir to a wealthy family	Gain a 10% increase in money		Player	nick005
nick006	Chosen One	Wildball Fist's base damage increases by 20%, and as the level rises, the damage bonus will also increase		Player	nick006
nick007	Tian Nan Wang Dao	Within a two-grid radius, allies reduce their own negative status by 5 points each round		n51001	nick007
nick007P	Revive the Kingly Way	Within a 4-tile radius of allies, reduce negative status by 5 points and increase positive status by 3 points each turn		n51001	nick007Plus
nick008	Thicket of Poisonous Feathers	If you are within a distance of 2 units from He Ziwang, you will be poisoned for 8 points each turn		n90405	nick008
nick008P	Swans that die together	If you remain within a 4-unit distance of He Ziwang, you will be poisoned for 8 points and your allies' abilities will decrease by 5 points each round		n90405	nick008Plus
nick009	Snowy Mountain Divine Eagle	Snowy Wing Sparrow joins the battle; personal archery damage increases by 25%, and all allies receive the status Falconer		n50060	nick009
nick009b	Soar for a thousand miles	There is a 20% chance to dodge the attack		n50070	nick009b
nick009c	Snowy Mountain Divine Eagle	Upon entering the field, the Eagle Hunter joins the battle; personal bow and arrow damage increases by 25%, and all allies receive the status Eagle Hunter		n50060	nick009c
nick009d	Snowy Mountain Divine Eagle	Self-bow and arrow damage increased by 25%		n50060	nick009d
nick009e	Soar for a thousand miles	There is a 10% chance to dodge the attack and inflict the status Paralysis Poison on yourself		n50070	nick009e
nick009P1	Phoenix Eagle Rises Again	During battle, Xueyidiao joins the fight; personal archery damage increases by 40%, and all allies gain the status Falconer		n50060	nick009P1
nick009P2	Phoenix Eagle Rises Again	When entering the battlefield, Eagle Hunter joins the fight; their own bow and arrow damage increases by 40%, and all allies receive the status Hawk Hunter		n50060	nick009P2
nick010a	Lan Hui Jie Yu	When Yan Yushu is on the field, all teammates' attack power increases by 50%		n09999a	nick010a
nick010aP	Ghostly Fragrance	When Yan Yushu is on the field, all teammates' attack power increases by 50%, and their damage reduction is 10%		n09999a	nick010aP
nick010b	Lan Hui Jie Yu	When Yan Yushu is on the field, all teammates' attack power increases by 50%		n09999b	nick010b
nick010bP	Mint Words and Orchid Feelings	When Yan Yushu is on the field, all teammates' attack power increases by 50%, and damage taken decreases by 10%		n09999b	nick010bP
nick011	Thousand Gold Daughters of the Horse Gang	Every time you are hit, the critical strike rate accumulates an additional 10%, and the critical hit damage increases by 50%		n20049	nick011
nick011P	Horse Gang Leader	Every time you are hit, the critical strike rate increases by 20%, and the critical hit damage is increased by 80%		n20049	nick011P
nick012	Spring breeze in October	There is a chance to dodge an enemy's attack; the higher your qinggong, the higher your dodging rate		n60005	nick012
nick012P	Great Elder Brother	The higher one's qinggong, the higher their evasion rate; when executing a backstab, it additionally causes the target to be stunned for 15 points		n60005	nick012P
nick013	Dian Cang Xianzi	Techniques using twin swords or short weapons have their power increased by 30%		n60040	nick013
nick013P	White Horse Fairy	Combat techniques with twin swords or twin short weapons increase in power by 50%. During combat, qinggong is enhanced by 10 points		n60040	nick013P
nick014	Dark Blood Mantra	When attacking a male target, there is a 25% chance to inflict the opponent with 15 points of dizziness and 15 points of confusion		n60100	nick014
nick014P	Master of the Charming Dream Pavilion	When the target is male, the skill damage increases, with a 25% chance to inflict 15 points of dizziness and 15 points of confusion on the opponent		n60100	nick014P
nick015	Heaven's Pillar stands tall and upright	When activating the release of energy, one can absorb 60% of their own inflicted damage; each time they attack, it makes enemies more likely to redirect their target towards themselves		n20033	nick015
nick015P	What is greatest in a hero	When unleashing power, one can reduce their own received damage by 80%; each time they strike, it makes the enemy more inclined to switch targets to them		n20033	nick015P
nick016	Clear sky, solitary moon	When employing Four ounces to move a thousand gold and Using leverage to apply force, the damage inflicted on the enemy is greater		n09997	nick016
nick016P	Clear sky and bright moon	Activate Move Two Liang to Win a Qian Jin, leveraging external force against the enemy; increases damage dealt and reduces damage taken by 10%		n09997	nick016P
nick017	Yu Gu Zhi Lan	When using the healing skill, the healing effect increases to 125%		n60400	nick017
nick017P	Flower-planting Master	When using the healing skill, the healing effect is increased to 130%; damage taken is reduced by 10%		n60400	nick017P
nick018	Sea of Hatred, Lonely Soul	Each round, self-attack power increases by 10%, with a maximum cumulative increase of 50%; each round, self-internal injury value increases by 10		n53001	nick018
nick018b	Sea of Hatred, Lonely Soul	Each round, self-attack power increases by 10%, up to a maximum cumulative increase of 50%; when triggering a critical hit, the critical hit damage is additionally increased by 25%		n53001	nick018b
nick018bP	Peerless Master	Each round, self-attack power increases by 10%, cumulative up to a maximum of 80%; when critical hit is triggered, critical hit damage increases by an additional 30%		n53001	nick018bP
nick019	Mountain Demon Ghost King	When backing, the power increases by 30%, and when attacking, 15% of the damage is converted into the user's lifeforce		n20286	nick019
nick020	Confucian Heart, Sword Arm	Each turn, increase the counterattack value by 25. All allies gain the status Confusion of the Scholar's Sword		n70044	nick020
nick021	Immortal Lady of Broad Cold	If one practices martial arts techniques that have an ice seal effect, the power of the moves becomes stronger		n09996	nick021
nick021P	Guang Han Gongzhu	If one practices martial arts with an ice-sealing effect, the techniques become more powerful		n09996	nick021P
nick022	Scarce Wind King	Upon unleashing a burst attack, restore 3 energy points; all allies gain the status Wind King Formation		n07002	nick022
nick023	Fat Lamb	Flavorful and delicious, everyone wants to eat the little white one		n21131	nick023
nick024	Malevolent and insane	Each attack has a chance to cause the enemy to become disoriented, blurring the lines between ally and foe for three turns. The higher the enemy's dizziness and confusion values, the greater the likelihood of becoming disoriented		n60402	nick024
nick024P	Destroy the World Poison King	Each attack has a chance to make the enemy confused, making it impossible to distinguish between friend and foe for four turns. The higher the values of dizziness, confusion, and poison on the enemy, the higher the probability of them becoming confused		n60402	nick024P
nick025	Heartless and ruthless	For every enemy killed, restore 3 points of energy to oneself		n60130	nick025
nick025P	Wipe out completely	For each enemy defeated, restore 3 points of energy and increase attack power by 50% this turn		n60130	nick025P
nick025buffP	Kill! Kill! Kill! Kill!	Butchering like swatting flies, attack power increased by 50%		n60130	nick025buffP
nick026	Overturning the Leviathan	Each time a move is made, there is a 30% chance to recover 1 point of energy		n60273	nick026
nick026P	Plum Blossom Ground	Each time a technique is used, there is a 35% chance to recover 1 point of energy and a 20% increase in the combo rate		n60273	nick026P
nick027	Silver Hook Lustrous Colors	In battle, Ink Stained Snow joined the fray		n60560	nick027
nick027P	Illusory reflections	During battle, Ink Stained Snow joins the fray, increasing their feints and deception by 10% each turn		n60560	nick027P
nick028	Heavenly Meteor, Solitary Star	If there are no allies, damage and defense increase by 50%, remove negative status effects for 12 points per round, recover 1 energy point with each attack, and restore 15% of life and internal power every 3 attacks		Player	nick028
nick029	Bladesman	All blade arts power +70%		Player	nick029
nick030	Blade Madman	All blade arts power +40%		Player	nick030
nick031	Surging waves of turmoil	Jingbo Blade Arts and Kuanglan Ultimate Blade Force Blade Arts have a power increase of 30%		Player	nick031
nick032	Five Tiger Severance Sword	Five Tiger Disembowelment Sword Blade Art Power +30%		Player	nick032
nick033	Si Xiang Dao	The Si Xiang Dao (Four Symbols Blades) increases blade arts power by 30%		Player	nick033
nick034	San Cai Dao	The Three Talents Blade Art has a power increase of 30%		Player	nick034
nick035	Villager	Flower Fist and Embroidered Leg techniques increase power by 50%		Player	nick035
nick036	Elite Villagers	Flower Fists and Embroidered Kicks power increased by 100%		Player	nick036
nick037	Cannot control one's own hands	The chance of being caught stealing is reduced by 30%		Player	nick037
nick038	It's a habit to borrow	The chance of getting caught stealing is reduced by 50%		Player	nick038
nick039	Thief King	The theft will not be discovered		Player	nick039
nick040	Sentimental	Aptitude increases by 10 points; however, each time the negative status value increases, the increase is amplified by an additional 30%	(Intelligence,10)	Player	nick040
nick041	Throwing apples to a young man	When in battle, female allies' damage is increased by 30%; however, they are more susceptible to being locked onto by enemies		Player	nick041
nick042	Reborn Mad Swordsman	When attacking the target from the front, there is a 25% chance to accumulate 10 points of joint manipulation on the target; when attacking the target from the side or back, there is a 25% chance for the attacker to accumulate 10 points of confusion		Player	nick042
