#ID	物品ID	强化分类(0是伤害、1是Buff、2是平均)	附加头衔	重量	耐久	伤害	初始效果	强化所需材料
rf10318a	eq10318	0	True	10	100	(Sword,240)(TwoSword,240)(BladeSword,240)	weapon0318	(it70110,2)(it70113,2)
rf10318b	eq10318	1	Seal	10	150	(Sword,180)(TwoSword,180)(BladeSword,180)	weapon0318_3	(it70110,2)(it70113,2)
rf10318c	eq10318	2	Ultimate	10	120	(Sword,210)(TwoSword,210)(BladeSword,210)	weapon0318_2	(it70110,2)(it70113,2)
rf10323a	eq10323	0	Break	11	100	(Sword,220)(TwoSword,220)(BladeSword,220)	weapon0323	(it70110,2)(it70104,2)
rf10323b	eq10323	1	Fiery	11	150	(Sword,170)(TwoSword,170)(BladeSword,170)	weapon0323_3	(it70110,2)(it70104,2)
rf10323c	eq10323	2	Ultimate	11	120	(Sword,190)(TwoSword,190)(BladeSword,190)	weapon0323_2	(it70110,2)(it70104,2)
rf10328a	eq10328	0	Truth	11	100	(Sword,230)(TwoSword,230)(BladeSword,230)	weapon0328	(it70110,2)(it70104,2)
rf10328b	eq10328	1	Shen	11	150	(Sword,170)(TwoSword,170)(BladeSword,170)	weapon0328_3	(it70110,2)(it70104,2)
rf10328c	eq10328	2	Ultimate	11	120	(Sword,190)(TwoSword,190)(BladeSword,190)	weapon0328_2	(it70110,2)(it70104,2)
rf10417a	eq10417	0	True	9	80	(Blade,210)(TwoBlade,210)(BladeSword,210)	poisoned02,wounded02	(it70112,1)(it70104,1)(it70311,1)
rf10417b	eq10417	1	Poison	9	120	(Blade,150)(TwoBlade,150)(BladeSword,150)	poisoned10,wounded08	(it70112,1)(it70104,1)(it70311,1)
rf10417c	eq10417	2	Ultimate	9	100	(Blade,170)(TwoBlade,170)(BladeSword,170)	poisoned05,wounded04	(it70112,1)(it70104,1)(it70311,1)
rf10418a	eq10418	0	True	9	80	(Blade,220)(TwoBlade,220)(BladeSword,220)	poisoned04,wounded04	(it70112,1)(it70104,1)(it70312,1)
rf10418b	eq10418	1	Seal	9	120	(Blade,160)(TwoBlade,160)(BladeSword,160)	poisoned12,wounded12	(it70112,1)(it70104,1)(it70312,1)
rf10418c	eq10418	2	Ultimate	9	100	(Blade,180)(TwoBlade,180)(BladeSword,180)	poisoned08,wounded08	(it70112,1)(it70104,1)(it70312,1)
rf10419a	eq10419	0	Truth	13	90	(Blade,235)(TwoBlade,235)(BladeSword,235)	weapon0419	(it70110,2)(it70104,2)
rf10419b	eq10419	1	Seal	13	130	(Blade,170)(TwoBlade,170)(BladeSword,170)	weapon0419_3	(it70110,2)(it70104,2)
rf10419c	eq10419	2	Ultimate	13	110	(Blade,190)(TwoBlade,190)(BladeSword,190)	weapon0419_2	(it70110,2)(it70104,2)
rf10808a	eq10808	0	True	26	100	(Bow,250)	wounded03,weapon0808	(it70110,1)(it70208,1)(it70604,1)
rf10808b	eq10808	1	Fierce	26	160	(Bow,180)	wounded12,weapon0808_3	(it70110,1)(it70208,1)(it70604,1)
rf10808c	eq10808	2	Ultimate	26	130	(Bow,210)	wounded09,weapon0808_2	(it70110,1)(it70208,1)(it70604,1)
rf10910a	eq10910	0	True	2	80	(Blade,230)(Short,230)(TwoBlade,230)(BladeSword,230)	PointAddTrick_2	(it70111,1)(it70110,1)(it70312,1)
rf10910b	eq10910	1	Fiery	2	100	(Blade,160)(Short,160)(TwoBlade,160)(BladeSword,160)	PointAddTrick_3,PointAddCombo_3	(it70111,1)(it70110,1)(it70312,1)
rf10910c	eq10910	2	Ultimate	2	90	(Blade,195)(Short,195)(TwoBlade,195)(BladeSword,195)	PointAddTrick_2,PointAddCombo_2	(it70111,1)(it70110,1)(it70312,1)
rf10922a	eq10922	0	Super	7	80	(Short,230)(Sword,230)(TwoSword,230)(BladeSword,230)	wounded06,PointAddTrick_2	(it70109,1)
rf10922b	eq10922	1	Break	7	100	(Short,165)(Sword,165)(TwoSword,165)(BladeSword,165)	wounded18,PointAddTrick_3	(it70109,1)
rf10922c	eq10922	2	True	7	90	(Short,195)(Sword,195)(TwoSword,195)(BladeSword,195)	wounded12,PointAddTrick_2	(it70109,1)
rf10310a	eq10310	0	True	10	120	(Sword,230)(TwoSword,230)(BladeSword,230)		(it70110,2)(it70104,2)
rf10310b	eq10310	1	Fierce	10	170	(Sword,160)(TwoSword,160)(BladeSword,160)	wounded12	(it70110,2)(it70104,2)
rf10310c	eq10310	2	Ultimate	10	150	(Sword,195)(TwoSword,195)(BladeSword,195)	wounded06	(it70110,2)(it70104,2)
rf10915a	eq10915	0	True	5	90	(Short,210)(Sword,210)(TwoSword,210)(BladeSword,210)	PointAddCombo_1	(it70105,3)
rf10915b	eq10915	1	Fiery. Fierce	5	120	(Short,140)(Sword,140)(TwoSword,140)(BladeSword,140)	PointAddCombo_3	(it70105,3)
rf10915c	eq10915	2	Ultimate	5	100	(Short,180)(Sword,180)(TwoSword,180)(BladeSword,180)	PointAddCombo_2	(it70105,3)
rf10916a	eq10916	0	True	5	90	(Short,210)(Sword,210)(TwoSword,210)(BladeSword,210)	PointAddTrick_1	(it70105,3)
rf10916b	eq10916	1	Fiery	5	120	(Short,140)(Sword,140)(TwoSword,140)(BladeSword,140)	PointAddTrick_3	(it70105,3)
rf10916c	eq10916	2	Ultimate	5	100	(Short,180)(Sword,180)(TwoSword,180)(BladeSword,180)	PointAddTrick_2	(it70105,3)
rf11004a	eq11004	0	True	4	120	(Sword,238)(Short,238)	frozen05	(it70110,1)(it70321,1)
rf11004b	eq11004	1	Fiery	4	160	(Sword,178)(Short,178)	frozen12	(it70110,1)(it70321,1)
rf11004c	eq11004	2	Ultimate	4	140	(Sword,208)(Short,208)	frozen08	(it70110,1)(it70321,1)
rf10426a	eq10426	0	Super‧	20	150	(Blade,247)(TwoBlade,247)(BladeSword,247)	wounded12	(it70110,2)
rf10426b	eq10426	1	Broken	20	200	(Blade,177)(TwoBlade,177)(BladeSword,177)	wounded20	(it70110,2)
rf10426c	eq10426	2	True	20	180	(Blade,217)(TwoBlade,217)(BladeSword,217)	wounded16	(it70110,2)
rf10108a	eq10108	0	True	2	90	(Fight,220)	weapon0108	(it70504,1)
rf10108b	eq10108	1	Fiery	2	120	(Fight,160)	weapon0108_3	(it70504,1)
