#共享	
OK	Confirmed
Cancel	Cancel
Or	Or
None	None
Enable	Enable
Disable	Discontinue
#UI	
Message	Message
QuestEventType000	Task begins
QuestEventType001	Abandon the mission
QuestEventType002	Task completed
QuestEventType003	Task failure
QuestEventType004	Task Update
#后面有留空格键是要做排版	
Method0	Obtained:
Method1	Lost:
HintTypeMoney	{0} {1} money
HintTypeExp	{0} {1} Experience
HintTypeInventory	{0} {1}x
HintTypeStealTodayDontSteal	Today, I can no longer take action against this person
HintTypeStealInventoryNull	His body was empty-handed
HintTypeStealProbabilityZero	They are on high alert
HintTypeStealTooFar	Target is too far away
HintTypeStealAnimal	I cannot attack the wild beast
HintTypeLearnDrug	Learned {0} prescription
HintTypeLearnCook	Master the recipe for {0}
HintTypeLearnForge	Acquire the blueprint for {0}
HintTypePropertyUp	Your {0} has been improved
HintTypePropertyDown	Your {0} has decreased
HintTypeAreaFriendlyUp	Your friendship with {0} has increased
HintTypeAreaFriendlyDown	You have lost some friendliness with {0}
HintTypeTeammateFriendly	Teammate friendship level has increased
HintTypeLevelUp	{0} leveled up
HintTypeTeamFull	Your team is full
HintTypeTeammmateJoin	{0} joins the team
HintTypeTeammmateLeave	{0} leaves the group
HintTypeNicknameUnlocked	Obtained the title {0}
HintTypeAchievement	Accomplish achievement goal {0}
HintTypeAchievementStart	Discovered hidden achievement {0}
HintTypeMadnessUp	You have become more unrestrained and wild
HintTypeMadnessDown	You have become more austere and meticulous
HintTypeMoralUp	Your spirit and moral integrity have become even more resolute
HintTypeMoralDown	You have become more sinister and imposing
HintTypeYinAndYangUp	You have become more masculine
HintTypeYinAndYangDown	You have become more gentle and soft
HintTypeFallAndHurt	You lost {0} lifeforce from the fall
HintTypeFallAndDie	You fell dead
HintTypeFoodBufferDisappeared	{0}'s effect from {1} disappeared
InventoryDialogTitle	Use items
InventoryDialogTitle2	Equipments Manuscript
InventoryDialogText	Definitely going to use it
InventoryDialogText2	Do you want to cultivate {0}?
Interactive02	Converse
Interactive03	Take
Interactive04	Excavate
Interactive05	Harvesting
Interactive06	Capture
Interactive07	<color=#ff2222>Steal Secretly</color>
Interactive08	<color=#ff2222>Attack</color>
Interactive09	Search
Interactive10	Hunting
Interactive11	<color=#ff2222>Stealth Attack</color>
Interactive12	Extermination
TalkStealNotice	You're sneaking around doing what?
TalkAmbushPlayer1	I suddenly feel like beating you up
TalkAmbushPlayer2	I would like to learn a few techniques from you
TalkAmbushPlayer3	Ha ha, fighting a fistfight will clear your mind and dispel all diseases!
TalkAmbushPlayer4	I yield. (or) I concede
TalkAmbushNpc1	Are you talking about fighting? Who's scared of who!
TalkAmbushNpc2	By all means!
TalkAmbushNpc3	Why should we act so rough when we are all civilized people?
TalkAmbushNpc4	Please forgive me for refusing
TalkAmbushNpc5	Impressive, we'll see how things go
TalkAmbushNpc6	Your martial arts skills are exceptional, impressive indeed
TalkAmbushNpc7	Hmph, don't be arrogant, I was just careless for a moment
TalkAmbushNpc8	I didn't expect to lose due to my mistake, and yet I am defeated by your hand
TalkAmbushNpc9	Hum, no matter how much trickery you use. In terms of true abilities, you are not my match
TalkAmbushNpc10	I... I am defeated by an unknown person... It's absolutely impossible
NoBook	Not yet selected the manual
ActivateA	Please choose {0}
InventoryLevel	Scarcity
InventoryLevel0	Generally
InventoryLevel1	Scarce
InventoryLevel2	Outstanding
InventoryLevel3	Extraordinary
InventoryLevel5	Special
Hurt0	Damage Reduction
Hurt1	Hand Combat Damage
Hurt2	Blade Arts Damage
Hurt3	Blade Arts Damage
Hurt4	Qianggun Shanghai
Hurt5	Hidden Weapon Damage
Hurt6	Close-Quarter Damage
Hurt7	Other injuries
Hurt8	Double-Blade Damage
Hurt9	Double Blade Damage
Hurt10	Blade Damage
Hurt11	Arrow Damage
Hurt	Damage
Weight	Weight
Durability	Endurance
Hardness	Hardness
BaseEffect	Special Effects
AdditiveEffect	Additional effects
InventoryTip	Apply to the weapon
InventoryTip0	Unable to use directly
InventoryTip2	Only usable during combat
InventoryTip98	This secret manual cannot be practiced because it has limited targets!
InventoryTip99	Mysterious Artifact:
CharacterProperty50	Lifeforce
CharacterProperty51	Maximum Lifeforce
CharacterProperty52	Internal Power
CharacterProperty53	Maximum internal power
CharacterProperty54	Energy
CharacterProperty55	Energy Limit
CharacterProperty58	Physique
CharacterProperty59	Aptitude
CharacterProperty108	Money
CharacterProperty109	Wild and Good
CharacterProperty110	Morality
CharacterProperty111	Jianghu reputation
CharacterProperty112	Yin and Yang
CharacterProperty196	Critical hit
CharacterProperty197	Release pressure
CharacterProperty198	Combo Attack
CharacterProperty199	Counterattack
CharacterProperty200	Feigned move
CharacterProperty301	Hand Combat
CharacterProperty302	Sword Arts
CharacterProperty303	Blade Arts
CharacterProperty304	Spear
CharacterProperty305	Hidden Weapon
CharacterProperty306	Short Weapons
CharacterProperty307	Medical Skills
CharacterProperty308	Poisonous Arts
CharacterProperty309	Neigong
CharacterProperty310	Qinggong
CharacterProperty321	Herbology
CharacterProperty322	Mineralogy
CharacterProperty323	Thiefology
CharacterProperty324	Business Management
CharacterProperty400	Internal Injury
CharacterProperty401	External injury
CharacterProperty402	Poisoned
CharacterProperty403	Seal the Acupoints
CharacterProperty404	Confused
CharacterProperty405	Dizziness
CharacterProperty406	Dislocate
CharacterProperty407	Joint Manipulation
CharacterProperty408	Disperse Qi
CharacterProperty409	Icebound
CharacterProperty410	Drunk
#阴阳	
YinAndYang0	Zhi Yin
YinAndYang1	Lesser Yin
YinAndYang2	
YinAndYang3	Lesser Yang
YinAndYang4	Chi Yang
#感悟	
TalentType0	Move
TalentType1	Quiet
TalentType2	Strong
TalentType3	Soft
TalentType4	Skilled
TalentType5	Clumsy
#区域	
Area0	Jianghu Wanderer
Area1	Arched Stone Village
Area2	Gleaming Jade Beach
Area3	Dayan Town
Area4	Eagle Hunter Village
Area5	Heaven's Pillar Fort
Area6	Lifetime Prosperity Winery
Area7	Elder's Village
Area8	Western River Command Post
Area9	Qingcheng Sect
Area10	Red Cinnabar Palace
Area11	Shi Jia Zhuang
Area12	Gate of Taihua
Area13	Bat King Encampment
Area14	White Horse Residence
Area15	Flower and Herb Stall
Area16	Segments of the Southern Zhaos
Area17	Thicket Fort
Area18	He Family Horse Gang
Area19	Ye Family Horse Gang
Area20	Karma Monastery
Area21	Wild Beast
Area22	Charming Dream Hall
Area23	Enchanted Spirit Water Fortress
Area24	Leisurely Scholars Academy
Area25	Tianlong Temple
Area26	Delicacies Society
Area27	Wolf Barbarian Tribe
Area28	Jinshigou
Area29	Ginseng King Mountain
Area30	Baishou Zhuang
Area31	Prey
Area32	Pet animals
Area101	Blacksmith's Workshop
Area102	An inn
Area103	Pawnshop
Area104	Fur Shop
Area105	Meat Shop
Area106	General Store
Area107	Pharmacy
Area108	Vegetable Stall
Area109	Fruit Shop
Area110	Fish Shop
Area111	Lumberjack Alliance
Area112	Winery
Area113	Food Shop
Area114	Restaurant
Area115	Jade Courtyard
ArrivalEndOfWorld	Forward area not open, please turn back
#传言	
HearsayNoneArea	Jianghu
HearsayAreaUnit	Of
#队伍	
RemoveTeammateTitle	Remove teammates
RemoveTeammate	Should {0} be removed from the team?
TeamFull	Team is full
GetExp	{0} gained {1} experience points
#交易	
StoreNoItemTransaction	You need to select items, and then we can trade
StorePlayerMoneyLacking	You don't have enough money
StorePlayerTotalPriceLow	The value of the items you're offering is too low; I don't want to trade with you
StoreNpcMoneyLacking	I don't have that much money on me...
StorePlayerNoFavarites	It seems you do not have what I want on your person
StoreNpcFavoriteHaveMoney	I love money; you can use money to make up for the shortfall
StoreNpcDontWant	This thing I don't need, please choose something else
#传闻	
RumorNothing1	Well, it has been smooth sailing so far on the journey, and enjoying the scenery along the way is not bad at all!
RumorNothing2	Well, the journey has been smooth and without trouble. Along the way, appreciating the scenery wasn't bad at all!
RumorNothing3	Alright, it's been smooth sailing on this journey; the scenery along the way has been quite enjoyable too!
RumorNothing4	Well, it's been smooth sailing so far on this journey, and enjoying the scenery along the way hasn't been bad at all!
RumorNothing5	The journey has been smooth so far, with beautiful scenery along the way—nothing bad about that!
#锻造	
HurtRang	{0}~{1}%
BluePrintType1	Hand Combat Weapons
BluePrintType2	Blade
BluePrintType3	Blade
BluePrintType4	Spear
BluePrintType5	Short Weapons
BluePrintType6	Hidden Weapons
BluePrintType7	Armor
EquipPartType0	Body
EquipPartType1	Grid
EquipPartType2	Handle
EquipPartType3	Ring
EquipPartType4	Head
EquipPartType5	Streamer
EquipPartType6	Stick
EquipPartType7	Tail
EquipPartType8	Lining
EquipPartType9	Face
EquipPartType10	Bone
EquipPartType11	String
EquipPartType12	Arrow
EquipPartType13	Bow
EquipPartType14	To smear poison
EquipPartType15	Throw into the furnace
BaseProperty	Basic Attributes
ForgeProperty	Special Effects
InventoryType301	Quanpu
InventoryType302	Sword Arts
InventoryType303	Blade Arts
InventoryType304	Gunmanship
InventoryType305	Hidden Weapon
InventoryType306	Short Weapons
InventoryType307	Neigong
InventoryType308	Qinggong
InventoryType309	Medical book
InventoryType310	Manual of Poisons
InventoryType318	Other
InventoryType701	Mineral
InventoryType702	Wood
InventoryType703	Throw into the furnace
InventoryType704	Leather
InventoryType705	Threads
InventoryType706	Muscle
InventoryType707	Powder
InventoryType708	Black Blood Spider Poison
InventoryType709	Dreadful Scorpion Poison
InventoryType710	Death Adder Poison
InventoryType711	Scorched Scorpion Poison
EffectLevel1	Light Degree
EffectLevel2	Moderate
EffectLevel3	Height
AchievementMode0	Single-Player Game Development
AchievementMode1	Overall cumulative production
AchievementType0	Generally
AchievementType1	Combat
AchievementType2	Plot
AchievementType3	Wuxia
AchievementType4	Ability
AchievementType5	Reputation
AchievementType6	Collect
#游戏难度	
GameDifficulty0	Easy
GameDifficulty1	Normal
GameDifficulty2	Hard
GameDifficulty3	Purgatory
DifficultyDetails	Provide detailed explanation
DifficultyWarning0	The current selected game difficulty is 'Purgatory' and some parts of the game content will be different
DifficultyWarning1	
DifficultyWarning2	Combat value adjustment：The war power of your units will be weakened, while the war power of enemy units will be strengthened
DifficultyWarning3	Battle System Mechanism Updated：Any death of a unit on the player's side (green) will result in battle failure
DifficultyWarning4	Changes in the fighting rules：Some battle victory conditions may change, such as the allied defense battles
