#ID	分类	Icon路径	细项标题	细项说明文字
h10101	101		移动	长按移动键（预设WASD）可以移动角色，或是使用键盘箭头键键操作，使用游戏手把的左游戏杆亦可移动角色。
h10102	101		奔跑	在使用箭头键移动时，同时按下跑步（预设Shift）键可以加速移动，但加速时间的长短与表现方式取决于角色能力值高低，轻功到达一定程度甚至可以施展水上飘。
h10103	101		跳跃	按压跳跃键（预设为Space键）可以让角色跳跃到达一些一般行走无法到达的区域，配合奔跑可以让角色跳得更高更远。
h10201	102		游戏时间	游戏时间的流逝会影响日夜变化，NPC也会随着时间变化改变作息，不同的时间点可能遭遇不同的特殊事件。
h10202	102		休息	角色可以在各据点的旅店中跟NPC购买休息时间，也可以在野外使用物品栏中的草席或极乐枕来进行休息的动作，休息将可以回复角色的血量、内力与异常状态，休息时间越久恢复效益也越高。
h10203	102		NPC作息	这个世界里的NPC都有着各自的作息与生活，若是你在某个时段找不到某个NPC，不妨换个时间再来找看看，也许还会触发不一样的事件或经历。
h10301	103	Point/Img_point_02.png	交谈	在这个开放世界中有许多可以与之对话的NPC，只要在允许的距离下按下互动键（预设E键）便可与之对话互动，但要注意与之互动后产生的各种可能事件与后果。
h10302	103	Point/Img_point_07.png	暗取	玩家可以使用暗取（预设为F键）来拿取NPC身上的物品，只是有被发现的可能，而被发现后通常会对玩家带来一些负面的影响，甚至引发战斗。
h10303	103	Point/Img_point_03.png	拾取	开放世界中有许多小对象可以互动，玩家若靠近某些物品后，按下互动键（预设E键）可以拾取至背包中。
h10304	103	Point/Img_point_05.png	采摘	当玩家靠近药草或植物时可以采摘。
h10305	103	Point/Img_point_04.png	挖掘	当玩家靠近矿物时可以挖掘。
h10306	103	Point/Img_point_06.png	捕抓	当玩家靠近毒虫时可以捕抓，未修练毒术者会中毒。
h10307	103	Point/Img_point_09.png	调查	当玩家靠近某些物品或地点时，可以调查该对象或是得到任务相关的线索。
h10308	103	Point/Img_point_06.png	猎捕	当玩家靠近某些野生动物时，可以猎捕他们。
h10309	103	Point/Img_point_06.png	暗捕	当玩家靠近某些驯养的牲畜，可以进行暗捕，但可能会被村人所讨厌。
h10310	103	Point/Img_point_08.png	切磋	当玩家靠近NPC时，可以进行切磋（预设为G键），玩家会与该NPC进行一对一切磋，切磋胜利NPC可以有机率获得其身上的物品，一天只可以对同一个NPC提起一次切磋要求。<color=#ff2222>(只有在困难模式以上的难度下才能够切磋NPC)</color>
h10401	104		便利功能	游戏中提供玩家许多便利的功能，能辅助玩家在游戏进行中更加地顺手。
h10402	104		显示药草	长按显示药草（默认V）键可以使周遭的药草以及矿物发亮，协助玩家更快速地采集。
h10403	104		快速存档	当一般操作模式下，按下快速存盘（预设F5）键可以快速帮玩家存盘，储存的档案会在存盘纪录中的标示为快速存盘，不过快速存盘只有一个字段，下一次按下快速存盘时会覆盖掉上一次的纪录，还请特别注意。
h10404	104		存档/读档	开启选单（预设ESC）键可以找到存盘/读档的字段，方便玩家纪录当前的游戏进度。
h10405	104		卡点脱逃	开启选单（预设ESC）键可以找到卡点脱逃的选项，当玩家受困于地型之中时，可以选用这个功能协助玩家回归到附近的村庄，但请注意部份特殊剧情场景之中无法使用。
h10406	104		屏幕截图	按下屏幕截图（默认F12）键可以将当前画面截取并保存。
h10501	105		队友	游戏中可以找到许多志同道合的朋友一同冒险，当队友加入时可以在接口中（默认Tab）中查看，除了玩家本身，玩家最多可以同时与另外三名队友一同闯荡江湖。
