#共享	
OK	确定
Cancel	取消
Or	 或
None	无
Enable	启用
Disable	停用
#UI	
Message	讯息
QuestEventType000	任务开始
QuestEventType001	放弃任务
QuestEventType002	任务完成
QuestEventType003	任务失败
QuestEventType004	任务更新
#后面有留空格键是要做排版	
Method0	获得
Method1	减少
HintTypeMoney	{0}{1} 钱
HintTypeExp	{0}{1} 经验
HintTypeInventory	{0} {1} 个
HintTypeStealTodayDontSteal	今日已无法再对此人下手
HintTypeStealInventoryNull	对方身上空无一物
HintTypeStealProbabilityZero	对方戒备森严
HintTypeStealTooFar	目标距离太远
HintTypeStealAnimal	无法对野兽下手
HintTypeLearnDrug	习得 {0} 药方
HintTypeLearnCook	习得 {0} 食谱
HintTypeLearnForge	习得 {0} 蓝图
HintTypePropertyUp	你的 {0} 提升了
HintTypePropertyDown	你的 {0} 降低了
HintTypeAreaFriendlyUp	你与 {0} 的友好度上升了
HintTypeAreaFriendlyDown	你与 {0} 的友好度下降了
HintTypeTeammateFriendly	队友友好度上升了
HintTypeLevelUp	{0} 升级了
HintTypeTeamFull	你的队伍已满
HintTypeTeammmateJoin	{0} 加入队伍
HintTypeTeammmateLeave	{0} 离开队伍
HintTypeNicknameUnlocked	获得称号 {0}
HintTypeAchievement	达成成就目标 {0}
HintTypeAchievementStart	发现隐藏成就 {0}
HintTypeMadnessUp	你更为狂放不羁了
HintTypeMadnessDown	你更为狷介拘谨了
HintTypeMoralUp	你更为正气凛然了
HintTypeMoralDown	你更为邪气逼人了
HintTypeYinAndYangUp	你更为阳刚了
HintTypeYinAndYangDown	你更为阴柔了
HintTypeFallAndHurt	你由高处摔落减少了{0}气血
HintTypeFallAndDie	你摔死了
HintTypeFoodBufferDisappeared	{0}的{1}效果消失了
InventoryDialogTitle	使用物品
InventoryDialogTitle2	装备秘籍
InventoryDialogText	确定要使用
InventoryDialogText2	要修练 {0} 吗？
Interactive02	交谈
Interactive03	拿取
Interactive04	挖掘
Interactive05	采摘
Interactive06	捕捉
Interactive07	<color=#ff2222>暗取</color>
Interactive08	<color=#ff2222>袭击</color>
Interactive09	调查
Interactive10	猎捕
Interactive11	<color=#ff2222>暗捕</color>
Interactive12	猎杀
TalkStealNotice	你鬼鬼祟祟的在干甚么？
TalkAmbushPlayer1	我忽然想揍你一顿。
TalkAmbushPlayer2	我想跟阁下讨教几招。
TalkAmbushPlayer3	哈哈，打一架神清气爽，百病全消！
TalkAmbushPlayer4	承让了。
TalkAmbushNpc1	打架嘛？谁怕谁！
TalkAmbushNpc2	请赐教！
TalkAmbushNpc3	大家都是文明人，何必动手动脚的？
TalkAmbushNpc4	请恕我拒绝。
TalkAmbushNpc5	算你厉害，咱们走着瞧。
TalkAmbushNpc6	阁下武艺高强，佩服佩服。
TalkAmbushNpc7	哼，别得意，我不过是一时大意。
TalkAmbushNpc8	想不到我一个失手，竟败在你的手中。
TalkAmbushNpc9	哼，尽使些鬼蜮技俩，论真实本领，你绝非我对手...。
TalkAmbushNpc10	我...我竟然败给无名之辈...绝无可能...。
NoBook	尚未选择秘籍
ActivateA	请选择{0}
InventoryLevel	稀有度
InventoryLevel0	一般
InventoryLevel1	稀有
InventoryLevel2	卓越
InventoryLevel3	超凡
InventoryLevel5	特殊
Hurt0	伤害减免
Hurt1	搏击伤害
Hurt2	剑法伤害
Hurt3	刀法伤害
Hurt4	枪棍伤害
Hurt5	暗器伤害
Hurt6	短兵伤害
Hurt7	其他伤害
