#id	显示名称	坐标
t01	拱石村	-40,127.6,-993
t02	漱玉矶	-398.9758,67.09195,-1129.825
t03	鹰猎人聚落	-1269.257,174.62,-804.2755
t04	擎天寨	-1381.956,220.697,-378.03
t05	大研镇	-621.8622,67.35533,-1166.188
t06	木氏土司	-869.183,66.1883,-959.9526
t10	噶玛寺	-607.1838,105.7996,-414.5963
t11	丈人村	-578.9824,66.09792,57.55837
t12	石家庄	264.386,71.791,-537.418
t13	天龙寺	737.8448,93.1328,-701.769
t14	一世富贵酒庄	-340.1253,81.5032,615.5227
t15	赋闲书院	-79.189,131.964,973.093
t17	大云庵	711.5664,97.1394,1503.05
t19	藏花草棚	-419.2821,62.9763,1202.439
t20	青城派	-817.1168,154.4611,192.9021
t21	白马居	-1005.25,209.383,-1231.17
t23	卧龙村	272.4005,87.876,-17.4988
t24	渡口	436.106,62.927,-148.12
t25	美馔楼	141.875,89.321,-188.141
t26	西川都司	172.7673,88.7412,62.4964
t27	布政使司衙门	263.5103,87.44997,11.68853
t28	先民遗迹之所	-98.17737,128.5873,-336.2946
t29	遂心岛	933.6442,62.63216,1202.35
t30	迷魂水寨	295.984,68.2054,914.9853
