#id	Description	Alias	Formula
fm00000	升級	升級公式	math.floor(((Level^1.5+150)*2+(Level*50))*((Level^2)+60)/60*0.75)
fm_exp_sharing	經驗值分配	經驗值分配	(21-TeammateCount)/20  * Exp
fm_weight	負重	負重	Neigong / 6 + Physique / 6 + 30 + math.ceil(Level / 4)
fm_store	物品價錢	物品價錢	price*(multiple+1)*0.5
fm_repair	修理價錢	修理價錢	price*((maxDurability-durability)/maxDurability)
fm_decompose	拆解價錢	拆解價錢	price*0.1
fm_steal	偷竊	得手機率	100-stealPrice+2*(myLevel-enemyLevel)-30*wearing-25*stolen+myStealKnowledge 
fm_battle_exp	戰鬥經驗	戰鬥經驗	Level ^ 2 + 60
fm_forge	鍛造	鍛造	value*constant*0.01*ratio*0.01
fm_forge_weight	鍛造重量	重量	(baseWeight + materialsWeight) * 0.5
fm_forge_durability	鍛造耐久	耐久	(baseDurability + materialsDurability) * 0.5
fm_forge_weaponhurt	鍛造武器傷害	傷害	baseHurt * 0.5 + (math.random(min,max)) + materialHardness * 0.5
fm_forge_armorhurt	鍛造護甲傷害	傷害	baseHurt * 0 + (math.random(min,max)) + materialHardness * 0.2
fm_lv_up_add_hp	升級+HP	升級+HP	50 + ((Physique + 25) * 0.10) ^ 2
fm_lv_up_add_mp	升級+MP	升級+MP	70 + ((Neigong + 10 ) * 0.04) ^ 2
fm_exp	獲得經驗值	獲得經驗值	 1.05 + ((Intelligence + 96) * 0.006) ^ 2
# 以下為戰鬥用公式
fm_enemy_exp	敵方經驗	敵方經驗值計算公式	((Level^2+150)*2+(Level*50))*((Level^2)+60)/60*0.75
fm_attack	傷害	傷害	(SkillDamage*0.7 + EquipDamage * ( math.min( 5,ApCost-5)*0.05 + 1.0) ) * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.003)) + (math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( PersonalityYinAndYang * SkillYinAndYang * 0.003 ) )
fm_atk_rect	傷害	傷害	(1.25-(math.min(TargetCount,4)*0.15)) * (SkillDamage*0.7 + EquipDamage*( math.min( 5,ApCost-5)*0.05 + 1.0)) * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.003)) + (math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( PersonalityYinAndYang * SkillYinAndYang * 0.003 )) 
fm_atk_sector	傷害	傷害	(1.20-(math.min(TargetCount,4)*0.15)) * (SkillDamage*0.7 + EquipDamage*( math.min( 5,ApCost-5)*0.05 + 1.0)) * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.003)) + (math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( PersonalityYinAndYang * SkillYinAndYang * 0.003 ) )
fm_atk_circle	傷害	傷害	(1.15-(math.min(TargetCount,4)*0.15)) * (SkillDamage*0.7 + EquipDamage*( math.min( 5,ApCost-5)*0.05 + 1.0)) * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.003)) + (math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( PersonalityYinAndYang * SkillYinAndYang * 0.003 ) )
fm_atk_arrow	傷害	傷害	(Median * 0.8 + 0.6) * (SkillDamage*0.6 + EquipDamage*( math.min( 5,ApCost-5)*0.05 + 1.2)) * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.003)) + (math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( PersonalityYinAndYang * SkillYinAndYang * 0.003 ) )
fm_atk_bow	傷害	傷害	(Median * 0.8 + 0.6) * (SkillDamage*0.6 + EquipDamage*( math.min( 5,ApCost-5)*0.05 + 1.5)) * ( 1 + ( math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( PersonalityYinAndYang * SkillYinAndYang * 0.003 ) )
fm_neigong_atk_circle	傷害	傷害	(1.15-(math.min(TargetCount,4)*0.15)) * SkillDamage * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.001)) + (math.min( 100,(math.max(NeigongGap,0) )* 0.01)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( PersonalityYinAndYang * SkillYinAndYang * 0.003 ) )
fm_very_yang_attack	傷害	傷害	(SkillDamage*0.7 + EquipDamage * ( math.min( 5,ApCost-5)*0.05 + 1.0) ) * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.003)) + (math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( math.max ( ( PersonalityYinAndYang - 100 ) , -80 ) * SkillYinAndYang * 0.012 ) )
fm_very_ying_attack	傷害	傷害	(SkillDamage*0.7 + EquipDamage * ( math.min( 5,ApCost-5)*0.05 + 1.0) ) * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.003)) + (math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( math.min ( ( PersonalityYinAndYang + 100 ) , 80 ) * SkillYinAndYang * 0.012 ) )
fm_very_yang_rect	傷害	傷害	(1.25-(math.min(TargetCount,4)*0.15)) * (SkillDamage*0.7 + EquipDamage*( math.min( 5,ApCost-5)*0.05 + 1.0)) * ( 1 + ( math.min( 100,(math.max(HurtGap,-20) )* 0.003)) + (math.min( 100,(math.max(NeigongGap,-20) )* 0.003)) + (( math.max( (Level-TLevel),-20 )*0.01) ) + ( math.max ( ( PersonalityYinAndYang - 100 ) , -80 ) * SkillYinAndYang * 0.012 ) ) 
