fishtest	魚兒魚兒水中游	4	(346.8482, 62.106, -1149.04),(346.3329, 62.069, -1153.455),(344.4957, 61.99227, -1151.91)	1
MoveTest	Test!	4	(5, 5, 5)	2
MoveTypeItem191		0	(863.8742, 62.3, 1418.189)	0
n00038	野猴	3	(18, 18, 18)	0
n10038	石莊中段夜班守衛	2	(314.6331, 67.38493, -568.9397),(324.439, 67.32529, -567.4307),(333.4197, 67.31168, -565.4197),(344.2339, 67.18317, -562.5),(353.9077, 67.16623, -556.5488),(361.8018, 67.44041, -547.1611)	2
n10039	鹽幫夜間西門守衛	4	(291.54, 72.89537, -533.083),(292.79, 72.89697, -540.32),(289.19, 72.89536, -532.9473),(290.6185, 72.89965, -540.2775)	3
n10040	鹽幫夜間東門守衛	4	(371.55, 72.33961, -507.7544),(376.4468, 72.24511, -508.4841),(372.8811, 72.64034, -503.6318),(377.3865, 72.54348, -504.9987)	3
n10041	鹽幫石文青	4	(383.3417, 90.27306, -457.4536),(382.8608, 90.27306, -459.5653),(386.608, 90.27306, -460.2068),(386.7884, 90.27306, -458.1638)	0
n10043	鹽幫郎中	1	(311.3062, 72.89537, -528.9075),(348.4807, 72.8648, -519.2935)	0
n10044d	狼蠻巡屋之間	4	(-860.6921, 71.64191, 829.1168),(-860.4827, 72.55404, 836.9611),(-856.3588, 72.77222, 842.7815),(-856.9095, 71.89681, 835.5467),(-863.88, 71.88424, 830.15),(-859.24, 73.20709, 844.0274)	2.5
n10044e	狼蠻巡屋之間	4	(-846.8623, 71.24799, 828.0122),(-852.5629, 71.30843, 826.8352),(-841.8073, 71.27658, 833.0696),(-840.0538, 71.22318, 830.0462),(-851.8613, 71.22253, 823.4657)	3
n10045a	狼蠻巡田	4	(-893.6918, 75.43107, 870.2843),(-883.0293, 75.16463, 869.1355),(-884.7075, 75.12351, 858.3628),(-894.3754, 75.20871, 859.3925),(-889.4823, 75.19398, 864.499),(-876.0315, 75.08424, 862.259),(-875.1594, 75.14474, 874.6547),(-886.6008, 75.33886, 874.9),(-897.7964, 75.44667, 865.7709),(-899.19, 76.01939, 876.98),(-890.3066, 75.2072, 854.111),(-879.53, 75.12144, 852.5514),(-901.48, 75.23695, 855.2397)	2
n10045b	狼蠻巡田	4	(-868.0555, 75.11555, 881.0688),(-897.4933, 77.73853, 889.35),(-872.8549, 75.24532, 886.4266),(-878.7982, 75.67596, 891.0826),(-879.6433, 75.38958, 883.1778),(-883.0095, 75.81747, 888.0135),(-889.3456, 76.00903, 883.531),(-889.8674, 76.97538, 892.5248),(-893.8007, 77.10206, 888.973),(-893.9978, 78.08646, 896.0696),(-882.7091, 76.31899, 895.1083),(-874.0853, 75.48767, 893.4937),(-874.6608, 75.18851, 879.319),(-884.6694, 75.50596, 880.5538),(-893.52, 76.06998, 881.2901)	2.5
n10045e	田外巡邏	4	(-867.2207, 75.0781, 871.564),(-862.5518, 74.80833, 896.0728),(-865.9835, 74.65639, 848.2743),(-870.79, 74.9272, 849.0955),(-865.9113, 75.03014, 896.1126)	1.5
n10046	n10046亂走	4	(-836.5073, 71.47971, 879.7427),(-819.7172, 70.52394, 870.1888),(-827.7224, 70.89642, 873.9039),(-835.9812, 71.60774, 874.5762),(-830.1973, 70.73663, 881.6219),(-824.2065, 71.11705, 864.9772),(-832.3345, 71.53399, 867.0234),(-812.7483, 70.19481, 868.6033),(-820.2422, 69.72992, 880.9671),(-811.4385, 69.37038, 876.4409),(-814.4465, 70.78432, 862.2602)	2
n10052a	西北礦洞外亂走	4	(-1088.765, 92.06845, 1130.788),(-1094.577, 92.08388, 1129.497),(-1087.462, 92.06846, 1135.878),(-1088.51, 92.18752, 1124.62),(-1078.96, 92.08984, 1138.63),(-1082.37, 92.06846, 1133.189),(-1080, 92.08272, 1142.04)	2.5
n10052b	繞廢墟走	4	(-952.1052, 65.2288, 1109.45),(-931.4406, 65.0064, 1103.922),(-950.03, 65.4196, 1114.31),(-932.22, 65.06076, 1111.02)	2
n10063c	兵營馬廄a	1	(154.4254, 87.92162, 103.0148),(189.4966, 88.01027, 106.6421)	3
n10063d	兵營馬廄b	1	(189.7212, 87.97649, 103.8672),(155.9014, 87.84671, 99.50854)	3
n10063e	軍營操場夜間a	1	(144.6475, 87.8964, 124.6282),(145.6604, 87.84671, 149.4739)	3
n10063f	軍營操場夜間b	1	(149.9238, 87.84671, 148.9633),(148.5249, 87.84672, 124.4478)	3
n10063g	軍營巡田	2	(145.5696, 87.84671, 121.7014),(173.6426, 87.84671, 122.2466),(124.9575, 88.02969, 120.7598)	2
n10063h	軍營右段道路a	1	(151.4717, 87.84671, 157.7144),(182.1804, 87.98494, 158.9055)	3
n10063i	軍營右段道路b	1	(182.2192, 87.84671, 156.3367),(152.1157, 87.84671, 155.1938)	3
n10063j	軍營左段道路a	1	(142.8245, 87.8467, 157.4292),(110.894, 87.84671, 157.88)	3
n10063k	軍營左段道路b	1	(111.1726, 87.84671, 155.1416),(142.4458, 87.84671, 155.1272)	3
n10063l	將軍府門前左側	1	(142.4663, 93.92176, 191.4908),(125.564, 94.2569, 191.7947)	2
n10063m	將軍府門前右側	1	(156.6216, 94.17896, 190.8628),(174.8093, 94.44709, 190.6373)	2
n10063o	將軍府右牆外	1	(179.5723, 94.15, 203.9156),(180.0437, 93.91277, 236.3171)	2
n10063p	將軍府左牆外	1	(119.0728, 94.04868, 202.6968),(119.7002, 94.14999, 243.3574)	2
n10063q	將軍府後牆外	1	(128.929, 93.89273, 253.1772),(170.6846, 94.14999, 252.8024)	2
n10068g	軍港巡夜a	1	(474.7683, 62.81258, -143.4756),(469.44, 62.88879, -167.44),(454.6038, 62.83698, -149.1471)	2
n19960001	動物走走停停進食	3	(15, 15, 15)	8
n19962	家禽走路	3	(2, 2, 2)	4
n19971a	半徑十五原地繞	3	(15, 15, 15)	0
n20053	大研鎮淫賊MOVIE附近夜間巡邏	2	(-622.938, 66.218, -1073.302),(-622.9224, 66.218, -1106.669),(-621.7609, 66.218, -1143.153)	4
n20321	擎天寨眾搜索王喆	4	(-1552.349, 184.5968, -167.4102),(-1549.158, 186.2532, -185.5925),(-1534.021, 186.0756, -184.6215)	6
n20321b	擎天寨搜王喆	4	(-1557.172, 184.4289, -168.84),(-1548.726, 186.3577, -186.149),(-1539.61, 185.2299, -178.6377)	3
n20321c	擎天寨搜王喆	4	(-1535.951, 188.7784, -203.9661),(-1522.158, 185.6344, -183.5277),(-1513.594, 187.5497, -205.1238)	4
n20321d	擎天寨搜王喆	4	(-1534.672, 186.837, -191.3148),(-1501.263, 187.6017, -188.2727),(-1489.543, 188.306, -211.6628)	3
n20321e	擎天寨搜王喆	4	(-1475.871, 188.2136, -224.9276),(-1457.982, 189.6155, -216.3912),(-1476.821, 188.1205, -199.1404)	4
n20321f	擎天寨搜王喆	4	(-1421.383, 170.2408, -194.1791),(-1429.162, 168.5023, -176.9785),(-1442.849, 168.5753, -181.7858)	3
