it40118	资质、轻功、内功+{0}	24	24		(Intelligence,10)(Neigong,10)(Qinggong,10)	0
it60104	搏击+{0}	24	24		(Fight,1)	0
it60105	轻功+{0}	24	24		(Qinggong,3)	0
it60401	资质+{0}	24	24		(Intelligence,1)	0
it60402	资质+{0}	24	24		(Intelligence,1)	0
it60606	资质+{0}	24	24		(Intelligence,2)	0
it60621	资质+{0}	24	24		(Intelligence,1)	0
it60113	枪棍+{0}	24	24		(Spear,3)	0
it60103	轻功+{0}	24	24		(Qinggong,3)	0
it60144	资质+{0}	24	24		(Intelligence,2)	0
it60119	资质+{0}	24	24		(Intelligence,2)	0
it60132	内功+{0}	24	24		(Neigong,5)	0
it60143	剑法+{0}	24	24		(Sword,3)	0
it60101	刀法+{0}	24	24		(Blade,3)	0
it60102	刀法+{0}	24	24		(Blade,1)	0
it60118	短兵+{0}	24	24		(Short,3)	0
it60107	毒术+{0}	24	24		(Poison,3)	0
it60124	资质+{0}	24	24		(Intelligence,2)	0
it60127	医术+{0}	24	24		(Doctor,3)	0
it60123	短兵+{0}	24	24		(Short,3)	0
it60125	毒术+{0}	24	24		(Poison,3)	0
it60134	搏击+{0}	24	24		(Fight,5)	0
it60146	轻功+{0}	24	24		(Qinggong,3)	0
it60145	枪棍+{0}	24	24		(Spear,3)	0
it60121	枪棍+{0}	24	24		(Spear,3)	0
it60122	刀法+{0}	24	24		(Blade,3)	0
it60128	内功+{0}	24	24		(Neigong,2)	0
it60133	剑法+{0}	24	24		(Sword,3)	0
it60135	搏击+{0}	24	24		(Fight,2)	0
it60136	搏击+{0}	24	24		(Fight,2)	0
it60114	暗器+{0}	24	24		(Arrow,3)	0
it60126	资质+{0}	24	24		(Intelligence,2)	0
it60201	内功+{0}	24	24		(Neigong,2)	0
it60202	内功+{0}	24	24		(Neigong,3)	0
it60203	内功+{0}	24	24		(Neigong,2)	0
it60204	内功+{0}	24	24		(Neigong,2)	0
it60205	内功+{0}	24	24		(Neigong,2)	0
it60207	内功+{0}	24	24		(Neigong,5)	0
it60208	内功+{0}	24	24		(Neigong,8)	0
