BattleEffectVoiceMale	戰鬥音效男			m_long01.wav,m_long03.wav	m_short01.wav,m_short02.wav,m_short03.wav	
BattleEffectVoiceFemale	戰鬥音效女			w_long01.wav,w_long02.wav,w_long03.wav	w_short01.wav,w_short02.wav,w_short03.wav	
test000	梅信輝測試	test01,test02,test03				
v00001	梅紅綺(任務完成後)		v00001_f02.wav,v00001_f03.wav	v00001_long.wav	v00001_short.wav	
v00002	梅星河		v00002_f01.wav,v00002_f02.wav	v00002_long.wav	v00002_short.wav	
v00002b	梅星河(豹王寨)		v00002_f02.wav			
v00003	梅小青	v00003_c01.wav,v00003_c02.wav				
v00004	真鄉勇01	v00019_f01.wav	v00004_f01.wav			
v00005	真鄉勇02		v00005_f01.wav			
v00006	真鄉勇03		v00006_f01.wav			
v00007	流寇01		v00007_f01.wav			
v00008	流寇02		v00008_f01.wav			
v00009	流寇03		v00009_f01.wav			
v00010	梅信輝	v00010_c01.wav				
v00011	楊柳	v00011_c01.wav				
v00012	梅鑄方	v00012_c01.wav				
v00013	吉大發	v00013_c01.wav				
v00014	束阿桂	v00014_c01_01.wav				
v00015	梅天雄	v00015_c01.wav	v00015_f01.wav			
v00016	小乞丐	v00016_c01.wav	v00016_f01.wav			
v00017	符阿翠	v00017_c01_01.wav				
v00018	農人01	v00018_c01_02.wav	v00018_f01.wav			
v00019	農人02	v00019_c01.wav	v00019_f01.wav			
v00020	農人03	v00020_c01.wav	v00020_f01.wav			
v00021	農婦01	v00021_c01.wav	v00021_f01.wav			
v00022	農婦02	v00022_c01.wav	v00022_f01.wav			
v00023	賣藥郎中	v00023_c01.wav				
v00024	孔金		v00024_f01.wav,v00024_f02.wav,v00024_f03.wav,v00024_c01.wav			
v00025	藍拂衣		v00025_f01.wav,v00025_f02.wav	v00025_long.wav	v00025_short.wav	
v00026	不赦樓門人		v00026_f01.wav,v00026_f02.wav,v00026_f03.wav			
v00027	段思平		v00027_f01.wav,v00027_f02.wav,v00027_f03.wav	v00027_long.wav	v00027_short.wav	
v00028	段思良		v00028_f01.wav,v00028_f02.wav			
v00029	董迦羅		v00029_f01.wav,v00029_f02.wav			
v00030	董府護衛	v00030_c01.wav	v00030_f01.wav,v00030_c01.wav			
v00031	何白芍		v00031_f01.wav,v00031_f02.wav,v00031_f03.wav			
v00032	何紫菀		v00032_f01.wav,v00032_f02.wav,v00032_f03.wav			
v00033	徐暇客		v00033_f01.wav,v00033_c01.wav,v00033_c02.wav			
v00034	李嘆		v00034_f01.wav,v00034_f02.wav,v00034_f03.wav			
v00035	漆笑兒		v00035_f01.wav,v00035_f02.wav,v00035_f03.wav	v00035_long.wav	v00035_short.wav	
v00036	樊香蝶		v00036_f01.wav,v00036_f02.wav,v00036_f03.wav			
v00037	農人03	v00018_c01_01.wav	v00020_f01.wav			
v00038	農婦04	v00021_c01_01.wav				
v00039	農婦05	v00017_c01_02.wav				
v00040	小孩01	v00003_c02_01.wav				
v00041	小孩02	v00016_c01_01.wav				
v00042	流寇04		v00042_f01.wav			
v00050	泛用老村民男-溫和	v00050_c01.wav				
v00051	泛用老村民男-不耐煩	v00051_c01.wav				
v00052	泛用老村民女-溫和	v00052_c01.wav				
v00053	泛用老村民女-不耐煩	v00053_c01.wav	v00022_f01.wav			
v00054	泛用中年村民男-溫和	v00054_c01.wav				
v00055	泛用中年村民男-不耐煩	v00055_c01.wav				
v00056	泛用中年村民女-溫和	v00056_c01.wav				
v00057	泛用中年村民女-不耐煩	v00057_c01.wav				
v00058	泛用青年村民男-溫和	v00058_c01.wav				
